 ,WEEK,WEIGHT,STATE,ETRO,REGION,DIVISION,OWNHOME,MARITAL,EMPLOY,HHNUM,ADULTS,KIDS1217,KIDS611,KIDS06,PARENT,AGE,AGE2,EDUC2,EDUC,INCOME,RACE,PARTYROT,PARTY,IDEOROT,IDEO,REGIST,C3A,SEX,IDENT,L1,C1,C1A,USBORN,USLIVE,RELIG,RELIGOPEN,DENOM,DENOMOPEN,BORN,JEWID,SECULAR,JDENOM,YEAR,DEMH1,DEMNHV,DATE,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q6,Q7,Q8,I_EMPLOY,I_MARITAL,I_RACE
50000003,849,0.4698,MA,3,1,1,2,5,3,1,1,,,,2,69,,4,3,1,1,2,1,1,4,1,1,2,1,1,,1,,,2,,,,,,,,16,1,3,161207,1,2,2,2,1,0,0,0,0,0,0,0,1,3,2,3,5,1
50000004,849,0.6429,WI,5,2,3,1,3,3,2,2,,,,2,62,,8,5,7,1,1,2,2,4,1,1,2,1,1,,1,,,90,,,,,2,2,,16,1,1,161207,1,3,2,2,1,0,0,0,0,0,0,0,3,2,1,3,3,1
50000005,849,0.6927,PA,5,1,2,2,3,3,2,2,,,,2,67,,2,1,6,1,2,2,1,2,1,1,2,1,1,,2,,,22,,7,,1,,,,16,1,2,161207,2,2,2,2,1,0,0,0,0,0,0,0,1,1,2,3,3,1
50000006,849,0.7987,AZ,1,4,8,1,3,1,2,2,,,,2,41,,4,3,6,1,1,8,2,3,2,1,1,1,1,,1,,,6,,,,1,,,,16,1,1,161207,2,2,2,2,0,0,0,0,0,0,1,0,,4,1,1,3,1
50000007,849,2.153,OH,2,2,3,1,3,1,4,3,1,0,0,1,61,,3,2,6,1,1,3,2,3,1,1,1,1,1,,1,,,1,,,,1,,,,16,1,1,161207,3,2,2,2,1,0,0,0,0,0,0,0,1,3,2,1,3,1
50000008,849,0.25,IN,3,2,3,1,3,3,2,2,,,,2,81,,8,5,6,1,2,2,1,3,1,2,2,1,1,,6,,,22,,13,,1,,,,16,1,2,161207,1,2,2,2,1,0,0,0,0,0,0,0,1,1,2,3,3,1
50000009,849,1.1563,WI,5,2,3,1,3,1,2,2,,,,2,58,,3,2,5,1,1,1,1,2,1,1,2,1,1,,1,,,15,,13,,1,,,,16,1,1,161207,2,2,1,2,1,0,0,0,0,0,0,0,1,1,2,1,3,1
50000010,849,0.25,IN,5,2,3,1,5,4,1,1,,,,2,85,,6,4,2,1,2,2,2,3,1,2,2,1,1,,1,,,12,,,,,,,,16,1,3,161207,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,4,5,1
50000011,849,1.3992,NY,1,1,2,1,1,3,1,1,,,,2,83,,1,1,1,1,2,3,2,8,2,1,2,1,2,,,,,8,,,,2,,,,16,1,2,161207,4,2,2,2,1,0,0,0,0,0,0,0,2,3,2,3,1,1
50000012,849,0.9598,AL,3,3,6,1,3,1,2,2,,,,2,60,,8,5,12,1,2,3,2,2,1,1,2,1,1,,1,,,24,,,,9,,,,16,1,1,161207,1,2,2,2,1,0,0,0,0,0,0,0,1,1,2,1,3,1
50000013,849,1.0768,MA,3,1,1,1,3,1,3,3,,,,2,55,,6,4,12,1,1,3,2,3,1,1,1,1,1,,1,,,2,,,,,,,,16,1,1,161207,1,2,1,2,1,0,0,0,0,0,0,0,2,2,1,1,3,1
50000014,849,0.25,FL,5,3,5,1,6,3,1,1,,,,2,51,,6,4,99,1,1,3,1,1,1,1,1,1,1,,2,,,15,,9,,1,,,,16,1,1,161207,1,2,2,2,1,0,0,0,0,0,0,0,1,1,2,3,4,1
50000015,849,0.7575,NJ,4,1,2,1,3,3,2,2,,,,2,70,,8,5,99,1,1,2,1,5,1,1,1,1,1,,1,,,7,,,,,,,5,16,1,1,161207,1,2,2,1,0,0,1,0,0,0,0,0,,3,2,3,3,1
50000016,849,0.3623,TN,3,3,6,1,3,3,2,2,,,,2,81,,4,3,99,1,1,1,1,1,1,3,2,1,1,,2,,,1,,,,1,,,,16,1,4,161207,1,2,2,2,1,0,0,0,0,0,0,0,1,1,2,3,3,1
50000017,849,0.7089,PA,2,1,2,1,3,3,2,2,,,,2,87,,8,5,4,1,1,2,2,3,1,1,1,1,1,,1,,,15,,2,,2,,,,16,1,3,161207,1,2,2,2,1,0,0,0,0,0,0,0,2,2,2,3,3,1
50000018,849,0.2894,DE,1,3,5,1,2,1,2,2,,,,2,27,,6,4,7,1,1,3,2,3,1,3,1,1,1,,1,,,2,,,,,,,,16,1,2,161207,2,1,2,2,1,0,0,0,0,0,0,0,2,2,2,1,2,1
50000019,849,0.3394,MD,3,3,5,1,3,2,3,3,,,,2,67,,8,5,12,6,1,2,1,5,1,6,2,1,1,,2,,,2,,,,,,,,16,1,1,161207,1,2,2,2,1,0,0,0,0,0,0,0,2,1,1,2,3,4
